,id,text,label,subtask_b,subtask_c
130,79060,bringing honor decency yoyo picture thats rich,0,,
131,71682,good riddance,0,,
132,17577,goddess,0,,
133,27503,omg worst best case best cuase made laught part asking dead hurts poor thing rest standin like nope suffering dead yeah pretty dead,0,,
134,59998,probably imagine sjw snowflakes dont feel safe working might conservatives lurking shadows conservatives ruskies century,1,TIN,IND
135,81119,see may light even last election conservatives split coming tory partyvery soon,0,,
136,28812,get damn haters deleting reason url,1,TIN,GRP
137,84131,think canadian liberals actually blame trudeau costs per standard push,0,,
138,23179,warned everyone josh gordon last months daily basis sure shocked transpired today,0,,
139,28601,cant liberals read read url,0,,
140,64776,sjshsj thats job bitch,1,TIN,IND
141,95712,discuss haiti,0,,
142,69972,part collusion dont get dumocrat,1,TIN,IND
143,37115,skilled,0,,
144,80696,amazing,0,,
145,68163,fist pump troops,0,,
146,96789,reason farakans illegal values black muslim would reason detest believe illegal values simply result bad character like supporters,1,TIN,GRP
147,68629,let leftist democrats riot streets antifa counterparts,1,TIN,IND
148,66109,thought canada strict gun control help understand happening,0,,
149,19419,dont want following people dont like conservatives sickening biased twitters management twitterleftbias,0,,
150,32942,life tho,0,,
151,74285,important midterms get word democrats want people color believe support know false word spread even need know maga naacp,0,,
152,77319,antifa giving death threats professor ford threatening violence candidate loses spanky impeached,1,TIN,IND
153,30517,seen listened antifa pals,0,,
154,69077,case antifa take little bat something good kind thing,0,,
155,67758,titles scare little bit,0,,
156,35944,gteradicating hiv malaria middle africa good bloody luck,0,,
157,48223,interaction tory volunteers fcp volunteers witnessed today one demanding float moved back parade ableg cdnpoli,0,,
158,47168,seems getting things done,0,,
159,53947,added video playlist url combat mon frere ismael maga assassin david boxer yfc,0,,
160,49504,law changedyou make allegation days guilty proven innocent liberals mentally ill,1,TIN,GRP
161,66291,straight different thank joe biden one also wonder outcome name antifa hill,0,,
162,31229,game sucks donkey balls,1,TIN,GRP
163,75850,real gorgeous,0,,
164,88546,absolutely nail coffin hilliary,1,TIN,IND
165,29241,hope gets twitter tell amazing,0,,
166,19842,gun control tried proven failure people dont vote democrat refuse admit reality gun control doesnt work,0,,
167,69232,overwhelming liberals populated states make policy rest america clue california biggest population mean shares values get clue hillary,0,,
168,36471,doesnt partly fund antifa,0,,
169,32897,dumbass,1,TIN,IND
170,62072,levistrauss wanting gun control many wonder heck want freedoms taken away selective freedoms url,1,TIN,GRP
171,95444,point time dont think pres trump gives sht neither lol url,1,TIN,IND
172,51172,conservatives get polls vote red,0,,
173,62481,donnie family owe country apology taking criminal activities white house lining pockets father unfit making mockery republic shame family justice prevail,1,TIN,IND
174,71895,harvardharris poll conducted year found percent black americans said would like see one legal immigrants brought year url maga tcot,0,,
175,78366,doubt officially become national socialist american workers party gone ppl like acting der sturmer antifa einsatzgruppenwaffen detachment,0,,
176,39021,carmen fricking cute,1,TIN,IND
177,68840,chelsea crazy mother,1,TIN,IND
178,96837,time conservatives binnedboris sent lyin lynton back australia,0,,
179,51815,manifesto promised vote back think brexit would gone brits allowed vote referendum gerrymandered,0,,
180,62023,metoo movement must extension antifa complete joke movement wasnt selective joe biden would court fonding girls camera url,0,,
181,10253,awesome thank give humanity hope,0,,
182,21367,goober,0,,
183,33797,another uninformed,0,,
184,11160,forgot foster child,0,,
185,32916,brainless dems wants believe doesnt majority liberals like leaders corrupts obama crookedhillary real bad losers maga trump,1,TIN,GRP
186,47427,fucking way said,0,,
187,87052,supposedly smart people didnt think one moment audience people voted trump scared shitless hearing top brass speak way,0,,
188,29556,surprised takes sick woman make type accusations kind find far left liberals praying really weak members gop like collins flake pull back support,0,,
189,18547,california gun control direct result white people scared black panthers using right bear arms nra problem gun control,1,TIN,GRP
190,32688,oct brazil citizens overwhelming voted government implementing strict gun control factor brazilian government still violates referendum everyday brazilians murdered wzero effective method self defense,0,,
191,57850,claim without sin deceive truth confess sins faithful forgive sins purify unrighteousness john,0,,
192,82607,yet millions permit holding people carried legally concealed firearms day didnt hurt anyone else yet want stronger gun control idiots wonderful media hype incidents fits agenda,1,TIN,GRP
193,82339,yes hurt selves gun control freaks,1,TIN,GRP
194,98077,get like guy every hysterical tweet url,0,,
195,62815,always shows dedication wonder best url,0,,
196,34510,bullshit regulations good keeps conservatives striping land abyss,1,TIN,GRP
197,53501,owner culo,1,TIN,IND
198,69928,scarred life lol maga url,1,TIN,IND
199,31853,fucking,1,TIN,IND
200,13872,confirm man left wing activist liar whos story changes hard evidence christineblaseyford innocent proven guilty confirmkavanaugh maga weakrinos republicans,1,TIN,GRP
201,30791,reagan also signed first gun control bill governor,0,,
202,80385,awe hogwash really need overstate obvious,0,,
203,54292,years judge extensive backgroundsnot peeplink trumpboom conservatives rape liberals url,0,,
204,28985,assuming going get answer brainless liberal stooge ocasiocortez policy plan url wakeupamerica americas future vote republican surrender america dem morons maga,1,TIN,OTH
205,52375,man seriously needs mental health treatment firearms confiscated longer danger others waiting gun control advocates add list school shootings buys caliber handguns url,0,,
206,74004,leftists showing yet vile,1,TIN,GRP
207,70838,drunk crazy man,1,TIN,IND
208,64577,honored included fine patriots thank rena maga dean url,0,,
209,44448,please shut ontario seeing conservatives stand helping loose province never going anywhere way completely tune canadian harper oops mean scheer common mistake much alike,0,,
210,53928,alone sexually assaulted fellow law student never reported didnt think would believed however something happened made realize wasnt victim felt made colossal mistake,0,,
211,45337,liberals,0,,
212,85707,another terrorist attack reported msm,0,,
213,63292,dont know imma url,0,,
214,15991,money hadnt made smarter,1,TIN,IND
215,25009,yes gilmer makes laugh much,0,,
216,90990,lifeline,0,,
217,65785,always thought ford level headed guy guess note ford climate change summerfall winterspring happens every year get,0,,
218,38837,yeah need made bullshit protestors antifa lol time epic beatdown,1,UNT,
219,94182,unfortunately youre right keep real assault weapon,0,,
220,77653,real rocky god,0,,
221,27238,thank everyone making possible amazing beautiful bears member olivers army appreciate everything make lives better,0,,
222,12892,yeah got everything sorted needed sorted still taking small sips wine unusual emily guessed wouldnt profile,0,,
223,16885,way dont move haiti liberals seem make shit holes large cities somewhere already shit hole dont work,1,TIN,GRP
224,46581,yes,0,,
225,41517,tried went nowhere hes pro gun control done,0,,
226,22717,could killed many hunting rifle time vantage close hour police entered room actual shooting min making gun control going get people killed need smarter,0,,
227,88539,aha yes see individual sense needing belong winning team constant conditioning selfdevaluation see strong sense side lefthillaryantifa side well regardless think theyre winning,0,,
228,65786,know dont know talking dont see tweet repling lol,0,,
229,54437,another demonstration gun free zones dont work brought liberal likely supports stricter gun control,0,,
230,19514,shouldnt pussy grabbing one wearing gloves handling food maga url,1,TIN,IND
231,57943,plan environment even conservatives able understand able live planet make money,0,,
232,66328,happens tell white liberals dont get congratulate woke put money mouth simple fact life breaks brains,0,,
233,34317,antifa doesnt beat facsists try get change mind know lost cause try change fascists mind scare hiding demoralize stop spread hateful ideology forcing views others,1,TIN,IND
234,44837,soros root everything anything anti american money hollywood way islam antifa illegals url,0,,
235,36289,firemorningjoe cut cloth conservatives misogyny bigotry always display responsible trump url,1,TIN,GRP
236,80570,truly got idiotic thing ive ever seen,1,UNT,
237,43185,brigitte gabriel experienced life would nightmares sounding alarm americans buy book pay attention warning america,0,,
238,86477,work want control population australian gun control effect homicides,1,TIN,OTH
239,67080,poor baby,0,,
240,96270,antifa democrats dixiecrats kkk url url,0,,
241,44015,liberals ruin everything,1,TIN,GRP
242,48060,dont forget telling primarily black liberal audience conservatives want put back chains,0,,
243,31065,sad exploited also reputation destroyed ive read shes part antifa,0,,
244,11411,thats happens let liberal get hold gun would good place start gun control ban liberals getting guns,1,TIN,GRP
245,10133,look happy maga,1,TIN,IND
246,22128,trump proposes racial profiling tactic start thinking url,0,,
247,36518,introducing sweet sweet baby king always sooo nice try sit sofa never attacks url,0,,
248,59559,gone tho inputed bottom top first seconds tweet good tmart,0,,
249,99618,exactly record basically saying president law noted gop fine rudy issues url,0,,
250,53309,kamalaharris new dem emperor clothes taxpayers funded unprecedented armed protection gun control sen kamala harris url via,0,,
251,29497,yet fat,1,TIN,IND
252,84329,plenty evidence guilty hill accused since conf hearings arent guiltyinnocence got bench times diff journalist dont call white supremacyaltright antifa pick,0,,
253,50315,dont understand capablities despite proof economy hypothesis lied liberals entire life believing told liberal media made bill clinton look good could trump,0,,
254,97959,oath must subpoenaed testify lifetime appointment stake please right time amp allow orrin hatch already made mind lying allowed question kind questions could invite lawsuit,0,,
255,66524,yall best,0,,
256,97300,joke gem alright racist phony right along racist phony thinks follow second account block speak truth could care less followers like big party care discriminate url,1,TIN,IND
257,12919,indeed,0,,
258,40855,little concerned followers slowly become sort right wing sjw antifa thingie also excuse horrible english native languase didnt much schooling sorry sucks,0,,
259,84100,yep antifa literally hitler,0,,
260,21270,wow hot,0,,
261,41818,deserving woman happy,0,,
262,12435,ive noticed lot conservatives thoroughly disingenuous engaging twitter,0,,
263,14808,may forgotten moment citizens rights afforded citizens dont believe shit goes head,1,TIN,GRP
264,82579,thats modelling plenty women make shit tons money looking good,0,,
265,84523,watching horizon show scientists discovered dna mix humans neanderthalswould thought trump getting elected would proof enough maga,0,,
266,61917,hope way watch ted spanking liberals always enjoyable,0,,
267,33322,looked work history listed board leading age services aust lasa comes medicare local alliancewhat ever hell,1,UNT,
268,79251,look mirror,0,,
269,42540,sure,0,,
270,13881,send party manifesto promised help families maybe remind duties hostileenvironment priceonlove skypefamilies url,0,,
271,70402,families separated border fact picture children cages liberals using show evil trump actually taken obama president,0,,
272,83462,antifa people,0,,
273,87206,peoples vote june people rejected craven worship stand majority youre contemptuously defying people amp manifesto amp supporting soros undermining democracy instead,0,,
274,87300,cause bitches playing god aint give gift nothing,1,TIN,GRP
275,54125,free bird return muslim homeland,0,,
276,75848,mom speaks phone compose text brother angry yells phone telling type like brother able tell even yelling,0,,
277,14948,melting snow flakes,0,,
278,66798,whos victim remains seen liberals turned kavanaughs hearings circus first minute started,0,,
279,80497,coming man threatened try kick turmps ass dont take set balls,1,TIN,IND
280,38561,youre shocked hear liberals want centralize power federal level,0,,
281,55203,best best,0,,
282,31776,whatilearnedtoday liberals cant win without lying,0,,
283,60916,fast furious holder lol,0,,
284,97277,getting scared ugly man,1,TIN,IND
285,63113,one shows progressive stand watch dislikes right left evenly know right start youve never seen show check youtube insightful maga,0,,
286,59721,supreme court worthy,0,,
287,53839,god hope url,0,,
288,15616,yes,0,,
289,95200,bitch url,1,UNT,
290,77769,amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,1,TIN,IND
291,65790,cant prove causation either conservatives cda surely love idea bashing cant help think theyre also egging former continue bashing boost fortunes vainly url,0,,
292,48548,republican men picture men age law makers old sorry young republicans like young conservatives born years age,0,,
293,83751,liberals cant meme sense humor knowledge memeing philosophy,0,,
294,62541,stunning,0,,
295,62107,yea bitch right getting smacked url,1,UNT,
296,18474,focus proud boys know youre real journalist kelly focus ones violence antifa want story focus journalists leftist activists constantly ignoring antifas attacks people,0,,
297,33096,hahaha big thighs going make,1,TIN,IND
298,22879,called educating liberals,0,,
299,81470,maga christineford trump tcot ccot americafirst patriots brettkavanaugh say bill clinton whitewater imperative make pattern revolting behavior clear piece painful piece indeed url,1,TIN,IND
300,20322,maga people low gdp growth means literally nothing way translate higher income white familes individuals billions goes companies government jobs create labour pays less living wage lmao url,1,TIN,IND
301,26694,wonna get paidpick energy people scream shout like youre kavanaugh hearing url,0,,
302,60130,bro watch hold backwood interview like shit irritating lmao nigga mad suspicious,1,TIN,IND
303,54559,bitch built like could beat ass wants url,1,TIN,IND
304,34961,trash,0,,
305,14285,pathetic man,1,TIN,IND
306,25012,new psychology thinker think religion aggressive thought deeply think hinduism,0,,
307,19121,shouldve played saint marie instead london docks saint ass,0,,
308,61272,thank goodness passive aggressive love,0,,
309,25360,empty prisons also say broke lawsliberal logic,0,,
310,56949,angel much love,0,,
311,34893,asking arrest liberals butthurt months impeachable offense,0,,
312,90958,tolerant left,0,,
313,42133,must talking hateful conservatives,1,TIN,GRP
314,18834,thats correct maga,1,TIN,IND
315,12741,show single case antifa actually murdered someone far right murdered someone charlottesville hypocrisy works ways,0,,
316,42528,bobby fit thats exactly would say sure,0,,
317,29300,white people thank jesus republicans amp excrackheads say americahating liberals christians many exdems thank jesus amp many former emmys watchers thank jesus daily country amp ability turn,0,,
318,14850,skip realize saying become professional tweeter kind shitting sports casters many receptions skip year,0,,
319,38043,leftist wrong liberal colleges ppl students come unmask corrupt woman determined destroy good judge wants liberals courts,1,TIN,IND
320,40340,feeling touch first time,0,,
321,76709,great mark great one levin candace great owens together team unbeatable sent liberals frenzy whole block liberal voters heads explode andsadly alyssa milano wet pants great team,1,TIN,GRP
322,22728,stratadata data hairball tdavis touring application cognitive machinelearning techniques speed governance data url,1,TIN,GRP
323,14037,grossly misinterpreting people across parties condemn action look bill davis brian mulroney see even conservatives think horrible decision,0,,
324,11640,wasnt proposing scare tactics really meant said trump easily pull good maga republicans easily steal enough votes gop dem independents bring fresh breath rotten politics think,1,TIN,IND
325,47009,liberal would support liberal spent million get liberals elected office libfail url,1,TIN,GRP
326,90912,notice everyone avoids tweet might think referring comrade stalk everyone,0,,
327,97936,weirdly vicious bitter extrapolate everyone access decent healthcare liberals think criminals free reveals pretty brutalist impenetrable mind,1,TIN,GRP
328,12531,fuck game watching,1,UNT,
329,61448,grown,0,,
330,23853,health amp nature threat url,0,,
331,58454,didnt kavanaugh need terms guilty people ones need terms let clue theyre worried going make terrible impression believable theyre trying manage concern,0,,
332,63262,dont perpetuate colonialism going talk puertorico must puerto ricans panel jeezuzfuckingchrist difficult disporaenresistencia url,0,,
333,13136,anonymous message antifa qanon thegreatawakening commieclowns resistancerises resistance url,0,,
334,74670,antifa place society,0,,
335,45111,two votes home west texas stoked inspiring,0,,
336,72024,liberals trashy,1,TIN,GRP
337,11405,grape,0,,
338,90605,hello somebody need hyukjae danger watching fancams,0,,
339,28728,never show much intelligence,0,,
340,98547,yes saw say tapper kept basket kept coming back stupid answers finally gave dont think big fan policies hes stupid please,1,TIN,IND
341,98382,anything fucked head,1,TIN,IND
342,80430,sure wast thinking,0,,
343,68007,url guy guy looks like sheila qanon maga greatawakening crocodile dundee url,0,,
344,88809,heres problemif back fast furious proof atf looking influence gun control may preposterous government would fake sandy hook isnt facilitating drug war somewhat similar,0,,
345,71577,need know empty inside,1,TIN,IND
346,15863,dear sorry migraine well sending prayers,0,,
347,11918,sister far kindest sweetest person alive use grandma passed may woman saint even song written moms saint written children course url,0,,
348,17391,liberals mentally unstable,1,TIN,GRP
349,34443,authorized search warrant jean home racist drug test premediated murder slandered victim,1,TIN,IND
350,87904,would line putz know conservatives think,0,,
351,19732,dude trolling ash rock guy hurry see bjp govt state,0,,
352,52972,shes said always praying even tho cant anything sure heart broken well events,0,,
353,20800,one active threat could shot driving need gun control idea threat exists hypothetical excuse carry big scary gun,0,,
354,39866,get life,0,,
355,18348,containers hurricane donations found rotting puerto rico parking lot url,0,,
356,61093,followed fantastic maga patriots look forward following back thank amp wonderful day,0,,
357,75384,suicide rate america similar countries strict gun controlthey use url jumping cliffs bridges common method,0,,
358,68664,joining antifa,0,,
359,90705,apparently durbin amnesia,0,,
360,83290,canada regulated firearms since last quarter century laws probably contributed canada many handguns circulation url,0,,
361,22185,heard making waves,1,TIN,IND
362,13257,anita hill versus clarence thomas hope confirmation process end result maga,0,,
363,90575,boi dont,0,,
364,37630,time teacher career ive parent tell heshe praying always consider win teacherlife prayalloftheprayers url,0,,
365,51377,welcome whysjamescryin,0,,
366,51635,funny watching liberals sudden transparent warner problems leaks truth issues people big trouble warner likely one,0,,
367,14407,brown like,0,,
368,87366,ladies always make smileif know mean,0,,
369,77089,thursdaythoughts fuck liberals forever,1,TIN,GRP
370,27974,scalp custer,0,,
371,79972,proven gun control laws intended disarm law abiding citizens subvert criminal dont care gun laws,1,TIN,GRP
372,38981,nothing abusive ever done anyone including women people country putting horrible stress worrying going easy says agree gabby,0,,
373,30085,mxm nigger thinks give fuck url,1,TIN,IND
374,95773,fake vote wants sympathy,1,TIN,IND
375,94397,ask antifa one like amp respect,0,,
376,51053,kids different women american jobless men nigerian men bomb,1,TIN,OTH
377,21635,banning ammunition guns still legal instate gun control keep watch firearms,0,,
378,80767,dont anything trump conservatives refuse trade business,0,,
379,63772,got signing bookhe cute url,0,,
380,14131,russian agent disgrace hey old creep going die prison trump sold america russians time time years crimes scumbag,1,TIN,IND
381,62738,wow salinsky tactics,0,,
382,33709,insanely ridiculous bullshit,1,UNT,
383,98754,nhs way populated country conservatives privertised nhs buys,0,,
384,53995,shouldnt surprised pigs worked neonazis unmask antifa protestors local coverage shit journos like didnt cover rely investigative coverage url,1,TIN,GRP
385,52965,gun control anyone disarmhate,0,,
386,19654,gun controlpractice reading comprehension first,0,,
387,46633,beginning believe liberals sociopaths none people believe rule law evidence crime confirmbrettkavanaughnow,0,,
388,82171,americans lazy vote nonvoters skew liberal many liberals vote throw vote away party losers next question,1,TIN,OTH
389,54467,cant wait see maga tat across chest picture mueller,0,,
390,50936,sure doesnt call gated communitys private security firm bull connors though funny liberals love privatization police,1,TIN,GRP
391,97580,wonder many children molested,1,TIN,IND
392,18747,amazing admire much always able raise ugliness amp hatred show grace,0,,
393,54991,england views gun control stopped mattering,1,TIN,IND
394,55051,antifa party amp sudden expect believe care anyone besides nope,1,TIN,OTH
395,59090,antifa caught guard getting confronted last person url via,0,,
396,23159,ouch,1,UNT,
397,58548,wonder apologized diamond silk calling minstrel show fired making faces,1,TIN,IND
398,41277,awesome kavanaugh didnt shake gun control dads hand sorry kid killed gun future judges fault happened omg white people cities silly,1,TIN,GRP
399,51592,john podesta spirit cooking pedo heres photo valerie jarrett rather compromising situation maga qanon drainthedeepstate draintheswamp url,1,TIN,IND
400,38752,somebodys terrified happen american public knows truth youve drainthedeepstate maga trump kag url,0,,
401,56068,love way pisses liberals url,1,TIN,GRP
402,29892,bet still sloaneshe pretty awesome,0,,
403,88585,auto correct gggrrr crazy witch,1,TIN,GRP
404,14234,turned speech sounded like liberals becoming another nasty party personal attacks various individuals,1,TIN,GRP
405,25552,sjw crap andor paedophilia hollywood movies gaming politics comics police publicauthorities like councils dwp dwpcrimes catholicchurch church vatican islam muslims used weapon missed anything nhs maybe mbga conservatives,0,,
406,56476,thinks talk referee like expect everyone support treat specially,0,,
407,97329,another negative democrat refuses disappear,1,TIN,IND
408,85409,elected could please explain still promoting ideas already rejected weve months nothing appears moving onward like blind leading blind brexitshambles brexitmeansbrexit url,1,TIN,GRP
409,83153,getting paris climate agreement voters wanted obama committed towards agreement keep paying third world countries going broke help places like cal illegals either,0,,
410,70465,hes gonna tip two new assholes,0,,
411,14118,cant effected radiation killed hope mentions lady gaga witch since known immortal witch supreme,1,TIN,IND
412,79969,mike country living country constitutional republic democracy,0,,
413,63792,election season trump dick magnificent dick tremendous leftists prove russian puppet trump whips dick fit senility conservatives vote trump victory,1,TIN,IND
414,71927,science ecology health nature problem one many gun control url url,0,,
415,82293,interesting demoncraps arent even inventive enough create cartoons originally put republicans liberals koolaide drinkers always liberals also scum earth prove daily lies,1,TIN,GRP
416,48263,believe president fake,0,,
417,80449,old article going relevant soonclintonfoundation maga clintoncrimes url,0,,
418,61995,needs joe,0,,
419,32122,url,0,,
420,65470,dont think clue leadership liberals temperament year old children told noyou intellectual brilliance goat please stop tweeting tds making look quite fool,0,,
